"s","a","y"
"왜 왔오","이영숙","1971년 베스트 가요 콜렉션"
"울고 싶어","배호","1971년 베스트 가요 콜렉션"
"일곱 송이 수선화","양희은","1971년 베스트 가요 콜렉션"
"잘했군 잘했어","하춘화","1971년 베스트 가요 콜렉션"
"정 들여놓고","손진아","1971년 베스트 가요 콜렉션"
"조개 껍질 묶어","윤형주","1971년 베스트 가요 콜렉션"
"조용한 여자","이연실","1971년 베스트 가요 콜렉션"
"참사랑","김상희","1971년 베스트 가요 콜렉션"
"찻집의 고독","나훈아","1971년 베스트 가요 콜렉션"
"창밖에는 비 오고요","송창식","1971년 베스트 가요 콜렉션"
"초원의 빛","히식스(He 6)","1971년 베스트 가요 콜렉션"
"춤추는 첫사랑","이현","1971년 베스트 가요 콜렉션"
"친구","김민기","1971년 베스트 가요 콜렉션"
"카츄샤의 노래","김부자","1971년 베스트 가요 콜렉션"
"파도","바니걸스(토끼소녀)","1971년 베스트 가요 콜렉션"
"약속","뚜아 에 무아(Toi Et Moi)","1970년 베스트 가요 콜렉션"
"가는 정 오는 정","남정희","1970년 베스트 가요 콜렉션"
"가을이 오기전에","이영숙","1970년 베스트 가요 콜렉션"
"검은 고양이 네로","박혜령","1970년 베스트 가요 콜렉션"
"그 사람 바보야","정훈희","1970년 베스트 가요 콜렉션"
"그정 못잊어","나훈아","1970년 베스트 가요 콜렉션"
"기러기 아빠","이미자","1970년 베스트 가요 콜렉션"
"난이야","이상열","1970년 베스트 가요 콜렉션"
"눈동자","이승재","1970년 베스트 가요 콜렉션"
"눈물의 손수건","한진성","1970년 베스트 가요 콜렉션"
"늦기전에","김추자","1970년 베스트 가요 콜렉션"
"님은 먼 곳에","김추자","1970년 베스트 가요 콜렉션"
"다리 위에서","박인희","1970년 베스트 가요 콜렉션"
"달콤하고 상냥하게","양미란","1970년 베스트 가요 콜렉션"
"당신은 철새","김부자","1970년 베스트 가요 콜렉션"
"대답해 주세요","이미자","1970년 베스트 가요 콜렉션"
"두줄기 눈물","나훈아","1970년 베스트 가요 콜렉션"
"때늦은 후회지만","이수미","1970년 베스트 가요 콜렉션"
"람디담디담","패티김","1970년 베스트 가요 콜렉션"
"망향","배성","1970년 베스트 가요 콜렉션"
"무정한 여인","배성","1970년 베스트 가요 콜렉션"
"바보같은 사나이","나훈아","1970년 베스트 가요 콜렉션"
"백치아다다","문주란","1970년 베스트 가요 콜렉션"
"범띠 가시내","양미란","1970년 베스트 가요 콜렉션"
"봄비","박인수","1970년 베스트 가요 콜렉션"
"비내리는 명동","배호","1970년 베스트 가요 콜렉션"
"사랑은 꽃잎인가","민주","1970년 베스트 가요 콜렉션"
"사랑의 오두막집","이성애","1970년 베스트 가요 콜렉션"
"사랑이란 두글자","패티김","1970년 베스트 가요 콜렉션"
"사랑하는 당신이","패티김","1970년 베스트 가요 콜렉션"
"서산 갯마을","조미미","1970년 베스트 가요 콜렉션"
"소양강 처녀","김태희","1970년 베스트 가요 콜렉션"
"슬퍼도 떠나주마","펄시스터즈(Pearl Sisters)","1970년 베스트 가요 콜렉션"
"슬픈 연가","방주연","1970년 베스트 가요 콜렉션"
"아마도 빗물이겠지","이상열","1970년 베스트 가요 콜렉션"
"아씨","이미자","1970년 베스트 가요 콜렉션"
"영등포의 밤","오기택","1970년 베스트 가요 콜렉션"
"영원히 사랑하리","에보니스(Ebonys)","1970년 베스트 가요 콜렉션"
"이정표 없는 거리","김상진","1970년 베스트 가요 콜렉션"
"일자상서","김부자","1970년 베스트 가요 콜렉션"
"잊을 수 없는 그대","나훈아","1970년 베스트 가요 콜렉션"
"정든배","에보니스(Ebonys)","1970년 베스트 가요 콜렉션"
"좋았다 싫어지면","나훈아","1970년 베스트 가요 콜렉션"
"철새","남진","1970년 베스트 가요 콜렉션"
"초가삼간","최정자","1970년 베스트 가요 콜렉션"
"초원","히파이브(He 5)","1970년 베스트 가요 콜렉션"
"축제의 노래","트윈 폴리오","1970년 베스트 가요 콜렉션"
"파초의 꿈","문정선","1970년 베스트 가요 콜렉션"
"팔도 유람","서수남과 하청일","1970년 베스트 가요 콜렉션"
"해변으로 가요","키보이스(Key Boys)","1970년 베스트 가요 콜렉션"
"가는 세월","서유석","1970's 베스트 가요 콜렉션"
"가을편지","김민기","1970's 베스트 가요 콜렉션"
"감수광","혜은이","1970's 베스트 가요 콜렉션"
"개구장이","산울림","1970's 베스트 가요 콜렉션"
"검은 고양이 네로","박혜령","1970's 베스트 가요 콜렉션"
"고래사냥","송창식","1970's 베스트 가요 콜렉션"
"과수원길","서수남과 하청일","1970's 베스트 가요 콜렉션"
"그건 너","이장희","1970's 베스트 가요 콜렉션"
"그대 없이는 못살아","패티김","1970's 베스트 가요 콜렉션"
"그대로 그렇게","휘버스 (열기들)","1970's 베스트 가요 콜렉션"
"그때 그사람 (Original ver.)","심수봉","1970's 베스트 가요 콜렉션"
"길가에 앉아서","김세환","1970's 베스트 가요 콜렉션"
"꽃반지 끼고","은희","1970's 베스트 가요 콜렉션"
"나 그대에게 모두 드리리","이장희","1970's 베스트 가요 콜렉션"
"나 어떡해","샌드 페블즈(Sand Pebbless)","1970's 베스트 가요 콜렉션"
"나는 못난이","딕 훼밀리(Dick Family)","1970's 베스트 가요 콜렉션"
"나비 소녀","김세화","1970's 베스트 가요 콜렉션"
"난 정말 몰랐었네","최병걸","1970's 베스트 가요 콜렉션"
"내곁에 있어주","장은숙","1970's 베스트 가요 콜렉션"
"내 마음 갈 곳을 잃어","최백호","1970's 베스트 가요 콜렉션"
"너무합니다","김수희","1970's 베스트 가요 콜렉션"
"네 꿈을 펼쳐라","양희은","1970's 베스트 가요 콜렉션"
"눈이 내리네","이숙","1970's 베스트 가요 콜렉션"
"눈이 큰 아이","버들피리","1970's 베스트 가요 콜렉션"
"님과 함께","남진","1970's 베스트 가요 콜렉션"
"님은 먼 곳에","김추자","1970's 베스트 가요 콜렉션"
"다락방","논두렁 밭두렁","1970's 베스트 가요 콜렉션"
"달타령","김부자","1970's 베스트 가요 콜렉션"
"당신만을 사랑해","혜은이","1970's 베스트 가요 콜렉션"
"당신은 모르실거야","혜은이","1970's 베스트 가요 콜렉션"
"돌아와요 부산항에","조용필","1970's 베스트 가요 콜렉션"
"두개의 작은별","윤형주","1970's 베스트 가요 콜렉션"
"마음 약해서","들고양이들","1970's 베스트 가요 콜렉션"
"머나먼 고향","나훈아","1970's 베스트 가요 콜렉션"
"모닥불","박인희","1970's 베스트 가요 콜렉션"
"모모","김만준","1970's 베스트 가요 콜렉션"
"목화밭","하사와 병장","1970's 베스트 가요 콜렉션"
"뭉게구름","해바라기","1970's 베스트 가요 콜렉션"
"미인 (1974년작) (신중현과 엽전들)","신중현","1970's 베스트 가요 콜렉션"
"바다가 육지라면","조미미","1970's 베스트 가요 콜렉션"
"밤 배","둘 다섯","1970's 베스트 가요 콜렉션"
"밤차","이은하","1970's 베스트 가요 콜렉션"
"방랑자","박인희","1970's 베스트 가요 콜렉션"
"백구","양희은","1970's 베스트 가요 콜렉션"
"보리밭","문정선","1970's 베스트 가요 콜렉션"
"봄비","김추자","1970's 베스트 가요 콜렉션"
"사랑만은 않겠어요","윤수일","1970's 베스트 가요 콜렉션"
"사랑의 진실","어니언스(Onions)","1970's 베스트 가요 콜렉션"
"사랑이란 두글자","패티김","1970's 베스트 가요 콜렉션"
"사랑하는 마음","김세환","1970's 베스트 가요 콜렉션"
"사랑해","라나에로스포(Lana. Et. Rospo)","1970's 베스트 가요 콜렉션"
"섬마을 선생님","이미자","1970's 베스트 가요 콜렉션"
"세노야 세노야","양희은","1970's 베스트 가요 콜렉션"
"소녀와 가로등","진미령","1970's 베스트 가요 콜렉션"
"소양강 처녀","김태희","1970's 베스트 가요 콜렉션"
"아내에게 바치는 노래","하수영","1970's 베스트 가요 콜렉션"
"아니 벌써","산울림","1970's 베스트 가요 콜렉션"
"아름다운 강산","김정미","1970's 베스트 가요 콜렉션"
"아침이슬","양희은","1970's 베스트 가요 콜렉션"
"약속","뚜아 에 무아(Toi Et Moi)","1970's 베스트 가요 콜렉션"
"어디쯤 가고 있을까","전영","1970's 베스트 가요 콜렉션"
"어제 내린 비","윤형주","1970's 베스트 가요 콜렉션"
"얼굴","윤연선","1970's 베스트 가요 콜렉션"
"여고시절","이수미","1970's 베스트 가요 콜렉션"
"여러분","윤복희","1970's 베스트 가요 콜렉션"
"여름","징검다리","1970's 베스트 가요 콜렉션"
"연","라이너스","1970's 베스트 가요 콜렉션"
"영일만 친구","최백호","1970's 베스트 가요 콜렉션"
"오동잎","최헌","1970's 베스트 가요 콜렉션"
"왜 불러","송창식","1970's 베스트 가요 콜렉션"
"이 거리를 생각하세요","장은아","1970's 베스트 가요 콜렉션"
"이별","패티김","1970's 베스트 가요 콜렉션"
"이웃사촌","옥희","1970's 베스트 가요 콜렉션"
"잘했군 잘했어","하춘화","1970's 베스트 가요 콜렉션"
"장미","사월과 오월","1970's 베스트 가요 콜렉션"
"정","조용필","1970's 베스트 가요 콜렉션"
"제3한강교","혜은이","1970's 베스트 가요 콜렉션"
"제비처럼","윤승희","1970's 베스트 가요 콜렉션"
"조개 껍질 묶어","윤형주","1970's 베스트 가요 콜렉션"
"조용한 여자","이연실","1970's 베스트 가요 콜렉션"
"진짜 진짜 좋아해","혜은이","1970's 베스트 가요 콜렉션"
"초원의 빛","히식스(He 6)","1970's 베스트 가요 콜렉션"
"축제의 노래","트윈 폴리오","1970's 베스트 가요 콜렉션"
"춤을 추어요","장은숙","1970's 베스트 가요 콜렉션"
"친구야 친구","박상규","1970's 베스트 가요 콜렉션"
"탈춤 ('78 대학가요제 입상곡)","활주로","1970's 베스트 가요 콜렉션"
"터질거예요","김씨네","1970's 베스트 가요 콜렉션"
"토요일 밤에","김세환","1970's 베스트 가요 콜렉션"
"팔도 유람","서수남과 하청일","1970's 베스트 가요 콜렉션"
"편지","어니언스(Onions)","1970's 베스트 가요 콜렉션"
"피리 부는 사나이","송창식","1970's 베스트 가요 콜렉션"
"하얀 나비","김정호","1970's 베스트 가요 콜렉션"
"하얀 면사포","이수영","1970's 베스트 가요 콜렉션"
"한동안 뜸했었지","사랑과 평화","1970's 베스트 가요 콜렉션"
"해뜰 날","송대관","1970's 베스트 가요 콜렉션"
"해변으로 가요","키보이스(Key Boys)","1970's 베스트 가요 콜렉션"
"행복","이수만","1970's 베스트 가요 콜렉션"
"행복의 나라로","양희은","1970's 베스트 가요 콜렉션"
"아리송해","이은하","1970's 베스트 가요 콜렉션"
"안녕하세요","장미화","1970's 베스트 가요 콜렉션"
"월남에서 돌아온 김상사","김추자","1969년 베스트 가요 콜렉션"
"강촌에 살고 싶네","나훈아","1969년 베스트 가요 콜렉션"
"그사람 떠나가고","임희숙","1969년 베스트 가요 콜렉션"
"그림자","이영숙","1969년 베스트 가요 콜렉션"
"금잔디","금호동","1969년 베스트 가요 콜렉션"
"긴 세월","나훈아","1969년 베스트 가요 콜렉션"
"꽃타령","김세레나","1969년 베스트 가요 콜렉션"
"내 생애 단 한번만","조영남","1969년 베스트 가요 콜렉션"
"눈물의 여인","김하정","1969년 베스트 가요 콜렉션"
"님 그리워","나훈아","1969년 베스트 가요 콜렉션"
"님아","펄시스터즈(Pearl Sisters)","1969년 베스트 가요 콜렉션"
"당신","신행일","1969년 베스트 가요 콜렉션"
"당신을 알고부터","김상희","1969년 베스트 가요 콜렉션"
"두글자","박건","1969년 베스트 가요 콜렉션"
"딜라일라","조영남","1969년 베스트 가요 콜렉션"
"떠나야할 그 사람","펄시스터즈(Pearl Sisters)","1969년 베스트 가요 콜렉션"
"며늘아기","김부자","1969년 베스트 가요 콜렉션"
"무작정 걷고 싶어","정원","1969년 베스트 가요 콜렉션"
"미워도 다시한번","남진","1969년 베스트 가요 콜렉션"
"미워하지 마세요","이영숙","1969년 베스트 가요 콜렉션"
"바닷가의 추억","키보이스(Key Boys)","1969년 베스트 가요 콜렉션"
"별빛 속의 연가","문주란","1969년 베스트 가요 콜렉션"
"부모","유주용","1969년 베스트 가요 콜렉션"
"비둘기 집","이석","1969년 베스트 가요 콜렉션"
"빨간 선인장","김상희","1969년 베스트 가요 콜렉션"
"사나이 부르스","배성","1969년 베스트 가요 콜렉션"
"사람나고 돈났지","남진","1969년 베스트 가요 콜렉션"
"사랑은 계절따라","박건","1969년 베스트 가요 콜렉션"
"사랑의 역사","유지성","1969년 베스트 가요 콜렉션"
"사랑하고 있어요","남진","1969년 베스트 가요 콜렉션"
"사랑하는 마리아","패티김","1969년 베스트 가요 콜렉션"
"사랑흘러 강물흘러","주희","1969년 베스트 가요 콜렉션"
"서울의 찬가","패티김","1969년 베스트 가요 콜렉션"
"석류의 계절","정은숙","1969년 베스트 가요 콜렉션"
"성주풀이","김세레나","1969년 베스트 가요 콜렉션"
"안녕","배호","1969년 베스트 가요 콜렉션"
"여자의 꿈","조미미","1969년 베스트 가요 콜렉션"
"영원한 나의 집","차중광","1969년 베스트 가요 콜렉션"
"옥이엄마","이미자","1969년 베스트 가요 콜렉션"
"옹달샘","최정자","1969년 베스트 가요 콜렉션"
"잊을 수 만 있다면","강소희","1969년 베스트 가요 콜렉션"
"주란꽃","문주란","1969년 베스트 가요 콜렉션"
"지울 수 없는 상처","강소희","1969년 베스트 가요 콜렉션"
"짧은 머리 짧은 치마","최희준","1969년 베스트 가요 콜렉션"
"짬 좀 내줘요","화니 시스터즈(Fanny Sisters)","1969년 베스트 가요 콜렉션"
"추억의 소렌자라","유주용","1969년 베스트 가요 콜렉션"
"태양","최희준","1969년 베스트 가요 콜렉션"
"커피 한 잔","펄시스터즈(Pearl Sisters)","1969년 베스트 가요 콜렉션"
